Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Developer - Web,$78K-$144K (Glassdoor est.),"Software Developer - Web
Corporate Headquarters
12575 Uline Drive, Pleasant Prairie, WI 53158
Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.
Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Design and develop multitier web applications for customers and internal users using ASP.NET, MVC, SQL, JavaScript frameworks and jQuery.
Enhance and support e-commerce and mobile sites as well as sales, intranet and web applications that support business activities.
Design, develop, maintain and enhance systems based on business requirements using approved technologies and coding standards.
Perform unit testing using tools like MSTest, NUnit and Jasmine and mocking frameworks like Moq.
Document code appropriately for maintainability.
Communicate with product owners and business analysts to gather accurate specifications for new enhancements and applications.
Assist with work estimating based on requirements and technical designs.
Translate requirements and use cases into technical designs and functional code.
Collaborate with different teams and team members on projects.
Act as a mentor to other developers with programming issues.
Perform design and code reviews and help maintain code quality, performance and application responsiveness.
Minimum Requirements
Bachelor's degree in information technology, computer science or related field.
5+ years web development experience.
Strong understanding of object-oriented design, web application architecture and relational database design.
Proficient in ASP.NET, MVC, C# and JavaScript with solid understanding of their ecosystem.
Experience using T-SQL with an ability to write SQL queries and stored procedures.
Client-side scripting experience with JavaScript frameworks, such as Angular and jQuery a plus.
Experience with Microsoft Visual Studio (MVS) and SQL Server Management Studio (SSMS).
Experience using Team Foundation Server (TFS) for work management a plus.
Proficient understanding of code versioning tools like Git and CI/CD tools like Jenkins.
Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.
Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.
About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

Unfortunately, Uline is unable to offer US work sponsorship at this time.

EEO/AA Employer/Vet/Disabled

#LI-TE1
#ZR
#CORP",3.2,"Uline
3.2","Pleasant Prairie, WI","Pleasant Prairie, WI",5001 to 10000 employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,"The Home Depot, Foxconn, Amazon"
Software Developer,$78K-$144K (Glassdoor est.),"We have two openings for Software Developers within our corporate IT office located in South Sioux City, Nebraska.

Our IT department has a dynamic atmosphere with changing priorities that reflect the shifting needs of the business. You will find yourself challenged by the variety of programs and departments we work with daily - it's not just insurance. Most of the work on this Agile development team focuses on Java-based programming and web development.

For these developer positions, you will work directly with our Actuarial, Data & Analytics, and Underwriting departments to translate business needs into well-designed software solutions. You must be forward-thinking in designing, building, and maintaining IT solutions within project scope, budget, and deadlines.

Qualifications:
Formal education in MIS, Computer Engineering, Software Engineering, Computer Science, or a related discipline.
Experience in applications programming or education using Java or other object-oriented languages.
Proven ability to work both as part of a team and independently.
Self-motivated, naturally curious, and eager to learn about emerging technologies.
Why work for us?
We offer you a challenging career with a competitive compensation and benefits package, including:
A 37.5 hour work week.
Paid study materials, exam fees, study day, and monetary awards for professional development.
Separate paid vacation and paid sick leave.
Opportunities to impact the organization through participation in committees (e.g. Green Team, Fun Committee, etc.).
Support of healthy lifestyles through a wellness program and gym subsidies.
Who we are:
Great West Casualty Company provides specialized insurance products unique to the trucking industry and outstanding customer service to the thousands of truck drivers and trucking companies we serve. Over the past 60 years, we have grown to five offices serving insureds in over 40 states. We are now one of America's largest insurers of trucking companies. If your passion is to help others, you value education and continuous improvement, you enjoy participating in community activities, and you want to be valued for your contributions, come be part of our successful team.

Location: South Sioux City, Nebraska
Located at the intersecting points of Nebraska, Iowa, and South Dakota, South Sioux City is the location of our large corporate headquarters and central regional office. The Siouxland community is the perfect example of separate cities, states, and communities coming together to form one great place to live and work.

Great People

Great Careers

Great West Casualty Company

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",3.3,"Great West Casualty Company
3.3","South Sioux City, NE","South Sioux City, NE",501 to 1000 employees,1956,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
Developer,$78K-$144K (Glassdoor est.),"Do you have a passion for high-functioning teams?

Are you looking for an environment with the perfect mix of a focus on craftsmanship, a sense of ownership, and doing good in the world?

You should come work for Northwoods!!! But before talking about what we want you to do, we want you to know why you should do it at Northwoods!

Never heard of Northwoods? We understand – we’re a small company. But we have a mighty big mission! Northwoods makes software solutions that improve the quality of the lives of case managers and social workers in the Human Services field. Our purpose is “to never give up on anyone.” The reason that we create all of our solutions, the reason we continue to sell into the markets that we do – the reason behind everything that we do on a daily basis – is that we believe no one should be given up on.

Sound unusual? Good because we definitely are not your usual place to work!

Working at Northwoods means being part of a team that’s passionate about our ability to make an impact on the lives of human services professionals and the people they serve. If you seek collaboration, unique challenges, and the chance to contribute to work that matters, Northwoods is the right place for you.

Don’t just take our word for it: we’ve been ranked as a top medium business by Fortune/Great Places to Work (2018, 2019), a top midsize employer in Central Ohio by Columbus CEO (2017,

We believe in creating a culture of inclusiveness and accountability and hiring people are professional adults that believe in the values that we believe in:

1. We are committed to the best in all that we do

2. When we make a mistake, we admit it; we correct it; and we learn from it

3. We produce outcomes that make a difference

4. We are better together

5. We do the right thing because it is the right thing to do

Supporting our communities is important to us and not just in the solutions we provide! Giving back is another part of what makes Northwoods, well Northwoods. We allow all employees to use 20 hours of company paid time a year for volunteer service with any organization or for any cause they choose. We have always encouraged and supported a strong culture of helping others.

If you want to find out more about what makes us tick, check us out at http://www.teamnorthwoods.com/ or http://teamnorthwoods.com/careers.

So, what are we looking for?

Northwoods is searching for a Developer to join our team.

In this role, work in a team environment to develop and support proprietary software using a variety of tools and technologies.

What You Will Do
Work with Scrum team and Product Owners to respond to service requests, deliver quality, and provide value to our customers.
Participate in daily stand-up, sprint retrospective and sprint planning meetings
Pair with other developers and testers
Aid in the translation of business requirements to a viable product design
Contribute to technical specifications to describe the architecture, design and functionality of software components
Enhance current applications and support legacy applications.
Work under general supervision with latitude for independent judgment
What We Are Looking For

Self-starters who are motivated to work collaboratively and care about the quality of their work

Candidates with 2+ years of experience

All applicants should have a basic understanding of modern software practices including:
Version control using Git, Subversion or similar products
Ability to research public resources to debug problems
Familiarity with pair programming
Experienced craft-persons practice and understand the importance of:
Continuous Integration / Continuous Delivery
BDD/ATDD
TDD
Experience with modern web applications and SPAs
Collective Code Ownership
Evaluation of the right tool for the job
Life-long learners who can balance the enjoyment of picking up new things with the need to deliver high-quality solutions to our customers
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

So are you in? If you want to join an exciting and growing organization, great team, and laid-back culture and are ready to make a difference, apply now!!",4.7,"Northwoods
4.7","Dublin, OH","Dublin, OH",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
Experienced Node.js Software Developer,$78K-$144K (Glassdoor est.),"We are looking for a talented individual who resourceful, logical, proactive and who is passionate about what she or he does. You will work with management and part of a team designing and developing software and applications. In this role, you should be able to work independently with little supervision as well as part of a team. You should have strong communication and problem-solving skills.

If you have extensive hands-on experience in software development and application technologies, wed like to meet you.

Responsibilities:
Develop high-quality software
Identify, prioritize and execute tasks in the software development life cycle
Develop tools and applications by producing clean, efficient code
Automate tasks through appropriate tools and scripting
Review and debug code
Perform validation and verification testing
Collaborate with internal teams and vendors to fix and improve products
Document development phases and monitor systems
Ensure software is up-to-date with the latest technologies
Skills:
Extensive experience in software development
Experience using system monitoring tools
Experience with programming framework Node.JS
Knowledge of Ruby-on-Rails preferred
In-depth knowledge of relational databases (e.g. PostgreSQL, MySQL) and NoSQL databases (e.g. MongoDB)
Cloud System experience
Familiarity with various operating systems (Linux, Mac OS, Windows)
Analytical mind with problem-solving aptitude
Ability to work independently
Excellent communication skills
Comfortable in the start-up environment
BSc/BA in Computer Science or a related degree
Experience:
Node.JS: 2 years (Required)
Software Development: 5 years (Required)
Ruby on Rails: 1 year (Preferred)
Salary: There are multiple positions available and the salaries are competitive based on the candidate's experience and the level of expertise.

Job Type: Full-time

Experience:
ROR: 1 year (Preferred)
Node.js: 1 year (Required)
Software Development: 5 years (Required)
Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Health insurance
Paid time off
Flexible schedule
Schedule:
Monday to Friday",3.8,"NoFraud
3.8","New York, NY","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Software Developer,$78K-$144K (Glassdoor est.),"About Us

Integrated Information Systems is a provider of analytical and software development services to manufacturers of highly complex products in the defense and aerospace industry for over 20 years. We offer decision support tools built on Microsoft office and web platforms which integrate data from ERP systems, web services, EDI messaging systems, and human input.

Join Our Team

We’re looking for highly motivated and talented software and database developers to join our team. As an early growth stage technology company, I2S is seeking developers interested in working with a high degree of autonomy and responsibility for design, architecture, and development decisions without much dependence on oversight and direction. As a member of our team you will have the opportunity to develop your skills in relational database programming, web development (javascript), SQL Server analysis services, and many other related technologies.

Preferred Experience: 3-5 years

Skills We’d Like (In Order of Importance, by Category)

Database:

· MS SQL

· MS SQL Server Analysis Services

· SQL Server Integration Services

· Architecture (normalization, optimization)

Software:

· Web Front-End Development (HTML, CSS, Javacript)

· Web Back-End Development (Adobe ColdFusion)

· MS Excel (Advanced, including VBA)

· WebService usage and development

· SAP ERP

· MS InfoPath

Analytical:

· Statistical Forecasting

· MS Excel (Analysis)

· Modeling (What If, Simulation)

· Python


Full-time, Part-time, Flexible Positions available",-1,Integrated Information Systems,"Louisville, KY","Louisville, KY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Junior Full Stack Developer,$78K-$144K (Glassdoor est.),"-end
REST API’s built in the .Net Framework.

Besides great salary and benefits, JATO offers a casual work
environment, flexible work/life balance and a creative work space with optional
weekly events like happy hours, hackathons, and panel discussions.

Main Responsibilities
Learning and growing professionally while collaborating closely with experienced business/design/technology teammates
Having ownership in our products and our customers experiences, building features that can be implemented and deployed
Provide development support to QA, Business Analysis, and Product Management
Contribute toward the development of our next generation SaaS products
Knowledge, Skills and Experience Required

Technical Skills
You know the fundamentals of .NET (C#) extremely well
You have worked with consuming/calling REST API's
You have experience with JavaScript/HTML/CSS
You have developed and deployed one or more Angular projects. (experience with AngularJS is a plus)
You have worked with Source Control such as Team Foundation Server and Git
You have experience with relational databases such as SQL Server, MySQL, etc.
You have knowledge of non-relational databases such as Mongo DB and Cosmos DB
You have knowledge of node JS and microservices architecture
You are familiar with agile programming methodologies
Soft Skills
Strong communication skills
Strong problem solving skills
Contribute to our continuous efforts to improve our development infrastructure and processes
Passionate about software engineering and constant learning
Desire to help others improve through mentoring
A good grounding in technical theory and practice
Experience in creating detailed support and technical material
Attention to detail
Respond to tight deadlines
Being a team player
Please note all CVs must be submitted in English in order to be
considered for the role. You must have the right to work and live in the US.",3.7,"JATO Dynamics
3.7","Troy, MI","Uxbridge, United Kingdom",501 to 1000 employees,1984,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),-1
Software Developer,$78K-$144K (Glassdoor est.),"Join a dynamic team that designs, develops and supports software solutions to the needs of the legal technology community. Our team spans across several time-zones and cities, leveraging agile development, Microsoft .NET and SQL Server technologies to bring a cutting-edge experience to law firms and their clients.
Each member of our team is expected to be self-motivated with established interests and experience in .NET and JavaScript development. This role works within a team of software engineers responsible for building and maintaining next-generation customer facing applications in support of eDiscovery business processes.

Collaborate with other team members to design, implement and maintains the components of Consilio software products.
Understand the architecture, design and implementation of the Consilio Products and making necessary changes to fix any feature or performance issues that may be reported.
Responsible for all phases of the project lifecycle and include: requirements gathering, solution design, application development, and system testing.
Contribute ideas toward the enhancement and/or modification of designs to improve the product.
Implement the features/enhancements and collaborate with other teams (Architecture, QA) Review training materials, documentation, marketing materials for accuracy and contribute to content as needed.
Code automated unit tests for all the changes implemented.
Design and implement scalable and high performance products. Produce high-quality software.

BS degree in Computer Science, or Math or Engineering or equivalent
At least 4 years of application development experience in C#, ASP.Net and SQL Server.
Demonstrated ability to write SQL queries and use of Microsoft SQL Server database tables and connectivity.
A strong background in programming
Must be proficient in the following languages and technologies
.NET
C#, ASP.Net, MVC
SQL Server 2016
JavaScript, jQuery
Experience with TFS/JIRA
Familiarity with design patterns
Work experience in Agile development methodology
Strong communication and collaboration skills
Detail-orientated, “get it done” attitude and proactivity
Willingness to have fun and work as part of an international and diverse team
Experience with elastic search or DT Search is a plus
Experience with analytical tools is a plus
Experience:
Five years of application development
Consilio’s True North Values
Excellence - We strive to make every client our advocate
Passion - We DO because we CARE
Collaboration - We win together through teamwork and communication
Agility - We flex, adapt and embrace change
People - We value, respect and invest in our teammates
Vision - We create clarity of purpose and a clear path forward
Consilio, LLC is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status",3.2,"Consilio
3.2","El Paso, TX","Washington, DC",1001 to 5000 employees,2002,Company - Private,Legal,Accounting & Legal,Unknown / Non-Applicable,-1
Full Stack Software Developer,$63K-$64K (Glassdoor est.),"Rottler Pest Solutions is looking for an experienced Full Stack Software Developer to join their St. Louis team and grow their in-house software solution. To be considered for this position, you must live near the St. Louis, MO metro area. The software covers all portions of the business including field data entry, administration and customer service, and customer portal. This position will be responsible for developing new features and adapting the software to meet the business and customer needs.

Responsibilities
Maintain and evolve the primary Ruby on Rails code base
Work with business stakeholders to define requirements and develop new features
Troubleshoot and resolve production issues
Implement both backend (database, billing, etc.) and frontend (UI for administration, sales, customer service, technician, and customer portal) components
Qualifications
BA/BS degree in Computer Science or related technical field or equivalent practical experience
2+ years of relevant work experience
Experience developing and maintaining Ruby on Rails applications
Front-end experience using HTML, CSS, and JavaScript (CoffeeScript experience a bonus)
Ability to design and query large relational datasets using SQL (PostgreSQL experience a bonus)
Prefer experience with Android app development using Kotlin
Experience developing dynamic user interfaces for a variety of users and devices
Experience deploying and maintaining production environments on Linux servers
Excellent written and verbal communication skills
Ability to collaborate with a large team from a broad range of disciplines
Rottler is a Drug-Free workplace and an Equal Opportunity Employer. You will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status. IND1

Job Posted by ApplicantPro",4.6,"Rottler Pest Solutions
4.6","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,1956,Company - Private,General Repair & Maintenance,"Construction, Repair & Maintenance",$10 to $25 million (USD),"Orkin, Terminix, Ecolab"
Software Developer,$63K-$64K (Glassdoor est.),"Position Overview

CyberGrants is an ambitious, fast-growing and innovative company that helps our clients achieve Agile Social Impact. We are proud to have hundreds of clients, including over half of the Fortune 100. In the last twelve months alone, we’ve processed over $6.5 billion and more than 50 million volunteer hours. Nearly one-third of all corporate charitable giving is donated via CyberGrants software.

As part of our Technical Services team, you will be working in a highly collaborative environment in an exciting and comfortable atmosphere. You will be responsible for translating client requirements into the design and development of customized systems. You will be immersed in multi-tiered technical solutions integrating front-end, server-side, and database code.

By joining CyberGrants, take your technical potential together with your passion for good and go home every night knowing the work you’ve done has positively impacted millions of people around the world!

Apprenticeships or part-time may be considered.

Key Responsibilities
Support technical development of new client implementations and enhancements to existing client programs integrating front-end, server-side, and database code
Resolve technical issues related to custom and standard CyberGrants software offering
Design and develop internal support software to improve productivity, quality and speed of delivery
Demonstrate a strong ability to learn quickly and research new technology or skills as needed
Participate openly and constructively in code peer review and other quality control activities
Interpret business requirements and formulate developer and test strategies
Demonstrate a strong ability to be flexible and think out-of-the-box
Work effectively individually and as part of a multi-discipline team


Requirements
Programming experience in one or more current programming languages, Python preferred.
Experience with Relational Database(s) and related query languages (MySQL, MS SQL Server, Oracle SQL, Other) .
Experience with Test Driven Development (Unit Testing Frameworks).
Ability to effectively communicate and deliver technical information to business users and all stakeholders.
Strong attention to detail and a passion for quality, client happiness and continuous learning.
Preferred Qualifications
Object Oriented Server Side Language(s) (PHP, Java, .NET, PLSQL, Other)
Web Services (RESTful API integration)
JavaScript
Contemporary Source Control Systems (GIT)
Agile / Scrum methodologies
Continuous Integration and Continuous Deployment (CI/CD)
Tools and Methods (JIRA, Git, Wrike, Axure)
DevOps
Experience working with dispersed development and business teams.
Education
Bachelor's degree (B. A. / B. S.) in technical field from four-year college or university.
Completed coding boot-camp or comparable work experience.",2.1,"CyberGrants
2.1","Andover, MA","Andover, MA",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Benevity, YourCause, FrontStream"
Full-Stack Developer,$63K-$64K (Glassdoor est.),"Overview


Get your logistics together. Evolve here.

Schaefer Systems International provides storage, materials handling, logistics and waste technology solutions to businesses throughout North America. We design and manufacture state-of-the-art intralogistic storage and picking solutions for all types of industries as well as plastic containers, pallets, and waste and recycling carts. Headquartered in Charlotte, North Carolina, Schaefer Systems International is part of the SSI SCHAEFER Group, a global leader in logistics and materials handling founded in 1937 with offices and plants in over 50 different countries. For more information, visit http://www.ssi-schaefer.com.

The Full-Stack Developer will further develop our cloud-based operations management system as well as other features and interfaces within the application.

Schaefer Systems International, Inc is an Equal Opportunity Employer – Veterans/Disabled and other protected categories

Responsibilities
Further Development of our Global Cloud based Operations Management Websolution WISTAR ONE
Development of US-Specific Features to meet market & Customer Requirements
Development & Integration of Software Interfaces to 3rd party systems
Testing of developed solutions / Quality Checks
Management of US Server Infrastructure (AWS Cloud Services)
Qualifications
Minimum of a Bachelor’s degree in Computer Science or Engineering and 3-5 years of prior experience required
Proven experience with Java (Spring Boot), SQL, Vue.js, JavaScript, HTML5, REST
Understanding of Linux based embedded systems (NodeRed) is preferred
Understanding of Android App Solutions is of advantage
Knowledge of Optional GIS Systems / Mapping Solutions
Understanding of Cloud Infrastructure
**No Visa Sponsorship**",3.7,"Schaefer Systems
3.7","Charlotte, NC","Charlotte, NC",201 to 500 employees,1937,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),"Dematic, Daifuku"
